key,outcome,redirect_hint,reasons,skipped_gates
/airlines/AA,publish,,passed all gates,similarity (not computed; arrives in M6)
/airlines/B6,publish,,passed all gates,similarity (not computed; arrives in M6)
/airlines/DL,publish,,passed all gates,similarity (not computed; arrives in M6)
/airlines/UA,publish,,passed all gates,similarity (not computed; arrives in M6)
/airlines/WN,publish,,passed all gates,similarity (not computed; arrives in M6)
/airports/ATL,publish,,passed all gates,similarity (not computed; arrives in M6)
/airports/BOS,publish,,passed all gates,similarity (not computed; arrives in M6)
/airports/DEN,publish,,passed all gates,similarity (not computed; arrives in M6)
/airports/LGA,publish,,passed all gates,similarity (not computed; arrives in M6)
/airports/ORD,publish,,passed all gates,similarity (not computed; arrives in M6)
/airports/SFO,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/AA/1540/DEN-ATL,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/AA/1703/ATL-LGA,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/AA/1751/ATL-LGA,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/AA/1800/DEN-ORD,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/AA/2067/ATL-DEN,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/AA/2372/LGA-ORD,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/AA/2476/ATL-SFO,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/AA/2548/ORD-LGA,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/AA/2636/ATL-BOS,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/AA/2756/ORD-SFO,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/AA/298/ORD-SFO,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/AA/338/ATL-SFO,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/AA/366/LGA-ORD,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/AA/637/BOS-ORD,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/AA/692/BOS-ORD,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/B6/1427/BOS-ATL,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/B6/1429/ORD-SFO,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/B6/1484/SFO-ATL,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/B6/1541/ATL-BOS,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/B6/1611/ORD-DEN,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/B6/1618/ATL-LGA,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/B6/1668/ORD-BOS,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/B6/1825/BOS-ATL,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/B6/2076/DEN-ATL,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/B6/2095/SFO-ORD,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/B6/2206/DEN-ATL,publish,,passed all gates,similarity (not computed; arrives in M6)
/flights/B6/2220/BOS-ORD,publish,,passed all gates,similarity (not computed; arrives in M6)
